Sample	ST	gap	aroA	glk	dnaK	gyrB	trpE	cobQ	int_hyp	omp25	mismatches	uncertainty	depth	maxMAF
2011TE447911_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.19733333333	0
2011TE755611_2011	43	12	2	3	2	1	5	3	2	10	0	-	9.19288888889	0
2015IS368118_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.23055555556	0
KU-RCF-84_2014	8	3	2	3	2	1	5	3	2	8	0	-	9.17233333333	0
BwIM-SYR-34_2015	8	3	2	3	2	1	5	3	2	8	0	-	9.18644444444	0
NIPH-Bru40_2014	8	3	2	3	2	1	5	3	2	8	0	-	9.16955555556	0
B115_Unknown	7	3	5	3	2	1	5	2	2	10	0	-	9.24577777778	0
F6-05-6_2005	8	3	2	3	2	1	5	3	2	8	0	-	9.24188888889	0
2011TE629912_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.21188888889	0
2011TE1180311_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.19988888889	0
2012TE2424011_2012	11	3	2	3	2	1	5	3	2	10	0	-	9.21655555556	0
2011TE74411_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.19822222222	0
2011TE1178911_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.159	0
UBA8483_Unknown	11	3	2	3	2	1	5	3	2	10	0	-	9.19588888889	0
2011TE1184411_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.20055555556	0
2011TE448611_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.18611111111	0
Brm-1771-12-Geo_2012	8	3	2	3	2	1	5	3	2	8	0	-	9.19988888889	0
BwIM-SYR-05_2015	8	3	2	3	2	1	5	3	2	8	0	-	9.18855555556	0
CIIMS-PH-3_2016	8	3	2	3	2	1	5	3	2	8	0	-	9.20266666667	0
2017TE307211_2017	11	3	2	3	2	1	5	3	2	10	0	-	9.22788888889	0
BMM26-15_2015	39	3	2	24	2	1	5	3	2	8	0	-	9.18444444444	0
2011TE684011_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.22788888889	0
2016TE70312_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.18822222222	0
2013TE1352811_2013	11	3	2	3	2	1	5	3	2	10	0	-	9.16933333333	0
BRUC048_Unknown	11	3	2	3	2	1	5	3	2	10	0	-	9.21411111111	0
CIT43_2015	8	3	2	3	2	1	5	3	2	8	0	-	9.15377777778	0
BwIM-SYR-08_2016	8	3	2	3	2	1	5	3	2	8	0	-	9.18355555556	0
2011TE246111_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.21211111111	0
133_1998	8	3	2	3	2	1	5	3	2	8	0	-	9.19933333333	0
NIPH-Bru41_2014	8	3	2	3	2	1	5	3	2	8	0	-	9.19833333333	0
Phil1136-12_2012	39	3	2	24	2	1	5	3	2	8	0	-	9.17433333333	0
NIPH-Bru2_2006	8	3	2	3	2	1	5	3	2	8	0	-	9.19733333333	0
2015TE1184511_2015	43	12	2	3	2	1	5	3	2	10	0	-	9.20866666667	0
KIV-L_2014	8	3	2	3	2	1	5	3	2	8	0	-	9.18855555556	0
2011TE1180211_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.212	0
00-3099-5733_2000	11	3	2	3	2	1	5	3	2	10	0	-	9.20222222222	0
2015CB3742120_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.20222222222	0
CNGB1120_2006	7	3	5	3	2	1	5	2	2	10	0	-	9.27011111111	0
2011TE1184211_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.17388888889	0
BB15_2010	8	3	2	3	2	1	5	3	2	8	0	-	9.17244444444	0
2011TE449611_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.21411111111	0
2011TE1182611_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.20277777778	0
2012TE2422611_2012	11	3	2	3	2	1	5	3	2	10	0	-	9.20255555556	0
BwIM-IRQ-43_2015	8	3	2	3	2	1	5	3	2	8	0	-	9.18455555556	0
2011TE1182111_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.203	0
BwIM-SYR-23_2016	8	3	2	3	2	1	5	3	2	8	0	-	9.22811111111	0
2007BM-1_2007	8	3	2	3	2	1	5	3	2	8	0	-	9.18377777778	0
BCB028_1956	8	3	2	3	2	1	5	3	2	8	0	-	9.22788888889	0
I-349_1999	8	3	2	3	2	1	5	3	2	8	0	-	9.17066666667	0
UBA8756_Unknown	7	3	5	3	2	1	5	2	2	10	0	-	9.21511111111	0
C-572_2014	8	3	2	3	2	1	5	3	2	8	0	-	9.19966666667	0
2015TE2627011_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.21622222222	0
2011TE629911_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.19988888889	0
BwIM-IRQ-32_2014	8	3	2	3	2	1	5	3	2	8	0	-	9.21233333333	0
B115_1962	7	3	5	3	2	1	5	2	2	10	0	-	9.22166666667	0
BB20_2011	8	3	2	3	2	1	5	3	2	8	0	-	9.19955555556	0
BwIM-XXX-12_2015	8	3	2	3	2	1	5	3	2	8	0	-	9.20277777778	0
00-2956-4_2000	11	3	2	3	2	1	5	3	2	10	0	-	9.21255555556	0
2011TE1181011_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.18877777778	0
F2-06-6_2006	8	3	2	3	2	1	5	3	2	8	0	-	9.21388888889	0
2011TE605711_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.22766666667	0
BB6_1963	8	3	2	3	2	1	5	3	2	8	0	-	9.20011111111	0
R3-07-2_2007	43	12	2	3	2	1	5	3	2	10	0	-	9.19533333333	0
BCB033_2006	8	3	2	3	2	1	5	3	2	8	0	-	9.17388888889	0
B9_2018	8	3	2	3	2	1	5	3	2	8	0	-	9.172	0
CIT31_2015	8	3	2	3	2	1	5	3	2	8	0	-	9.21611111111	0
1_2011	8	3	2	3	2	1	5	3	2	8	0	-	9.20277777778	0
2011TE116411_2011	43	12	2	3	2	1	5	3	2	10	0	-	9.23688888889	0
BwIM-SYR-10_2016	8	3	2	3	2	1	5	3	2	8	0	-	9.19933333333	0
2013TE1502911_2013	11	3	2	3	2	1	5	3	2	10	0	-	9.20955555556	0
I-280_1983	8*	3*	2	3	2	1	5	3	2	8	gap-3/1indel	-	9.18011111111	0.1
BY38_2013	8	3	2	3	2	1	5	3	2	8	0	-	9.19955555556	0
2015IS3088142_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.2	0
43_Unknown	8	3	2	3	2	1	5	3	2	8	0	-	9.19977777778	0
CIT21_2015	8	3	2	3	2	1	5	3	2	8	0	-	9.19977777778	0
BwIM-TUR-40_2014	8	3	2	3	2	1	5	3	2	8	0	-	9.172	0
contigs-min1000-min1000-min45-JustBruc	11*	3	2	3	2*	1	5	3	2	10	dnaK-2/1snp	-	9.17133333333	0
Brm-1268-11-Geo_2011	8	3	2	3	2	1	5	3	2	8	0	-	9.19966666667	0
BRUC101_Unknown	11	3	2	3	2	1	5	3	2	10	0	-	9.18777777778	0
NIPH-Bru24_2012	12	3	2	3	2	1	5	2	2	10	0	-	9.25811111111	0
C-555_2012	8	3	2	3	2	1	5	3	2	8	0	-	9.18411111111	0
2015CB3742127_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.22788888889	0
BB3_1980	8	3	2	3	2	1	5	3	2	8	0	-	9.20977777778	0
BwIM-SOM-36a_2014	12	3	2	3	2	1	5	2	2	10	0	-	9.23388888889	0
2015IS604318_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.20277777778	0
BwIM-SYR-41_2016	8	3	2	3	2	1	5	3	2	8	0	-	9.21355555556	0
2015IS3088136_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.19966666667	0
BB8_1991	8	3	2	3	2	1	5	3	2	8	0	-	9.18588888889	0
B29_2018	8	3	2	3	2	1	5	3	2	8	0	-	9.19977777778	0
2011TE2168711_2011	43	12	2	3	2	1	5	3	2	10	0	-	9.21966666667	0
BB5_2012	8	3	2	3	2	1	5	3	2	8	0	-	9.18777777778	0
BwIM-TUR-24_2015	8	3	2	3	2	1	5	3	2	8	0	-	9.18411111111	0
2011TE1179111_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.21477777778	0
2016TE1727111_2016	11	3	2	3	2	1	5	3	2	10	0	-	9.19833333333	0
BwIM-TUR-03_2014	8	3	2	3	2	1	5	3	2	8	0	-	9.19855555556	0
Brm-1252-10-Geo_2010	8	3	2	3	2	1	5	3	2	8	0	-	9.20033333333	0
KU-RCF-64_2014	8	3	2	3	2	1	5	3	2	8	0	-	9.17211111111	0
2016TE70511_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.21344444444	0
BMM-13-15_2015	39	3	2	24	2	1	5	3	2	8	0	-	9.18855555556	0
2015TE2182411_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.17011111111	0
C-570_2014	8	3	2	3	2	1	5	3	2	8	0	-	9.19944444444	0
BwIM-SYR-01_2015	8	3	2	3	2	1	5	3	2	8	0	-	9.18877777778	0
Brucellamelitensisbiovar_8	11	3	2	3	2	1	5	3	2	10	0	-	9.20222222222	0
F1-06B10_2006	12	3	2	3	2	1	5	2	2	10	0	-	9.23777777778	0
VRI4799-15_2015	39	3	2	24	2	1	5	3	2	8	0	-	9.18444444444	0
M28-12_Unknown	8	3	2	3	2	1	5	3	2	8	0	-	9.18855555556	0
C-569_2014	8	3	2	3	2	1	5	3	2	8	0	-	9.19766666667	0
BB17_2010	8	3	2	3	2	1	5	3	2	8	0	-	9.18822222222	0
2015IS508818_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.21322222222	0
2011TE1179811_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.18833333333	0
NIPH-Bru1_2005	12	3	2	3	2	1	5	2	2	10	0	-	9.25933333333	0
KSA-BM-07_2017	8	3	2	3	2	1	5	3	2	8	0	-	9.21388888889	0
MY1483-09_2009	39	3	2	24	2	1	5	3	2	8	0	-	9.15811111111	0
LMN17_2018	8	3	2	3	2	1	5	3	2	8	0	-	9.20266666667	0
2015IS341317_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.203	0
BwIM-IRN-28_2015	NF	3	2	3	26	1	5	3	2	8	0	-	9.19988888889	0
NCTC10508_1963	8	3	2	3	2	1	5	3	2	8	0	-	10.1958888889	0.473684210526
2011TE684411_2011	88	3	2	3	2	27	5	3	2	10	0	-	9.15855555556	0
QY1_2015	8	3	2	3	2	1	5	3	2	8	0	-	9.20255555556	0
BwIM-IRN-37_2015	8	3	2	3	2	1	5	3	2	8	0	-	9.18644444444	0
2011TE447811_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.22788888889	0
F9-05_2005	8	3	2	3	2	1	5	3	2	8	0	-	9.21222222222	0
LMN20_2018	8	3	2	3	2	1	5	3	2	8	0	-	9.17033333333	0
2016CB126517_2016	11	3	2	3	2	1	5	3	2	10	0	-	9.21344444444	0
C-558_2013	8	3	2	3	2	1	5	3	2	8	0	-	9.188	0
BwIM-TUR-39_2014	8	3	2	3	2	1	5	3	2	8	0	-	9.18377777778	0
NCTC8334_1900or1951	39	3	2	24	2	1	5	3	2	8	0	-	9.20022222222	0
BwIM-SYR-04_2015	8	3	2	3	2	1	5	3	2	8	0	-	9.22766666667	0
NIPH-Bru47_2016	8	3	2	3	2	1	5	3	2	8	0	-	9.20244444444	0
I-370_2010	8*	3*	2	3	2	1	5	3	2	8	gap-3/1indel	-	9.18677777778	0.1
2013TE1500511_2013	11	3	2	3	2	1	5	3	2	10	0	-	9.15822222222	0
2011TE607611_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.21344444444	0
2011TE1181411_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.18588888889	0
00-4216_2000	11	3	2	3	2	1	5	3	2	10	0	-	9.22788888889	0
CIIMS-BH-2_2016	8	3	2	3	2	1	5	3	2	8	0	-	9.18477777778	0
BwIMITA-45_2015	43	12	2	3	2	1	5	3	2	10	0	-	9.20277777778	0
UK22-06_2006	42	3	2	3	2	1	12	3	2	8	0	-	9.22811111111	0
2015TE1184311_2015	43	12	2	3	2	1	5	3	2	10	0	-	9.22288888889	0
2011TE1180511_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.19788888889	0
UK23-06_2006	12	3	2	3	2	1	5	2	2	10	0	-	9.25833333333	0
BwIM-TUR-5_2014	8	3	2	3	2	1	5	3	2	8	0	-	9.19833333333	0
C-573_2014	8	3	2	3	2	1	5	3	2	8	0	-	9.22377777778	0
2011TE1354111_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.21411111111	0
2011TE1284111_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.19788888889	0
BwIM-SOM-36b_2014	12	3	2	3	2	1	5	2	2	10	0	-	9.23366666667	0
Ether-VerA_Unknown	9	3	2	3	2	1	5	3	2	9	0	-	9.19777777778	0
NI_2007	8	3	2	3	2	1	5	3	2	8	0	-	9.20222222222	0
NIPH-Bru9_2003	12	3	2	3	2	1	5	2	2	10	0	-	9.224	0
2014TE1651017_2014	11	3	2	3	2	1	5	3	2	10	0	-	9.21655555556	0
C-554_2012	8*	3*	2	3	2	1	5	3	2	8	gap-3/1indel	-	9.21411111111	0
2013TE1500311_2013	11	3	2	3	2	1	5	3	2	10	0	-	9.20266666667	0
00-3099-5734_2000	11	3	2	3	2	1	5	3	2	10	0	-	9.19733333333	0
2011TE446711_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.18411111111	0
NCTC10509_1961	9	3	2	3	2	1	5	3	2	9	0	-	9.21122222222	0
2013TE1502811_2013	11	3	2	3	2	1	5	3	2	10	0	-	9.18577777778	0
NIPH-Bru6_1999	8	3	2	3	2	1	5	3	2	8	0	-	9.21222222222	0
1-VerB_2013	8	3	2	3	2	1	5	3	2	8	0	-	9.18844444444	0
ATCC23457_Unknown	8	3	2	3	2	1	5	3	2	8	0	-	9.18722222222	0
2011TE448811_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.19966666667	0
BwIM-XXX-54_2015	102	3	2	35	2	1	5	3	2	8	0	-	9.18688888889	0
BwIM-TUR-60_2014	8	3	2	3	2	1	5	3	2	8	0	-	9.21122222222	0
BwIM-TUR-02_2016	8	3	2	3	2	1	5	3	2	8	0	-	9.20244444444	0
I-340_1995	8*	3	2	3	2	1	5	3	2*	8	int_hyp-2/1indel	-	9.17888888889	0
UBA11435_Unknown	7	3	5	3	2	1	5	2	2	10	0	-	9.21555555556	0
I-338_1993	8	3	2	3	2	1	5	3	2	8	0	-	9.21355555556	0
NIPH-Bru13_2010	8	3	2	3	2	1	5	3	2	8	0	-	9.20255555556	0
BwIM-TUR-38_2015	8	3	2	3	2	1	5	3	2	8	0	-	9.203	0
CNGB290_1996	7	3	5	3	2	1	5	2	2	10	0	-	9.24588888889	0
SKN25_2015	8	3	2	3	2	1	5	3	2	8	0	-	9.19711111111	0
2011TE1179311_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.21377777778	0
BwIM-MAR-25_2016	11	3	2	3	2	1	5	3	2	10	0	-	9.21388888889	0
2011TE229911_2011	43	12	2	3	2	1	5	3	2	10	0	-	9.25088888889	0
Brucellamelitensis-043_Unknown	8	3	2	3	2	1	5	3	2	8	0	-	9.19977777778	0
BwIM-AFG-63_2016	8	3	2	3	2	1	5	3	2	8	0	-	9.186	0
F10-05-2_2005	7	3	5	3	2	1	5	2	2	10	0	-	9.204	0
BB9_1990	8	3	2	3	2	1	5	3	2	8	0	-	9.19966666667	0
2011TE1237311_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.21344444444	0
2013TE254711_2013	11	3	2	3	2	1	5	3	2	10	0	-	9.22611111111	0
2011TE683911_2011	88	3	2	3	2	27	5	3	2	10	0	-	9.21366666667	0
20236_2012	8	3	2	3	2	1	5	3	2	8	0	-	9.18855555556	0
BwIM-SYR-07_2015	8	3	2	3	2	1	5	3	2	8	0	-	9.18855555556	0
2010724553_2010	8	3	2	3	2	1	5	3	2	8	0	-	9.19833333333	0
2015TE1614211_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.23055555556	0
BwIM-TUR-51_2014	8	3	2	3	2	1	5	3	2	8	0	-	9.18366666667	0
2011TE392211_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.214	0
2011TE450011_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.21344444444	0
UK19-04_2005	12	3	2	3	2	1	5	2	2	10	0	-	9.22	0
2015TE1617311_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.21344444444	0
I-160_1961	8	3	2	3	2	1	5	3	2	8	0	-	9.22588888889	0
B7_2016	8	3	2	3	2	1	5	3	2	8	0	-	9.202	0
2011TE2103111_2011	7	3	5	3	2	1	5	2	2	10	0	-	9.246	0
NIPH-Bru20_2011	8	3	2	3	2	1	5	3	2	8	0	-	9.20277777778	0
NIPH-Bru4_2006	12	3	2	3	2	1	5	2	2	10	0	-	9.21633333333	0
F15-06-7_2006	11	3	2	3	2	1	5	3	2	10	0	-	9.21388888889	0
2011TE1951311_2011	8	3	2	3	2	1	5	3	2	8	0	-	9.18888888889	0
2015TE1619411_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.21655555556	0
00-2529-3_2000	11	3	2	3	2	1	5	3	2	10	0	-	9.214	0
2011TE117111_2011	43	12	2	3	2	1	5	3	2	10	0	-	9.22355555556	0
NIPH-Bru5_1999	8	3	2	3	2	1	5	3	2	8	0	-	9.19788888889	0
BwIM-KWT-42_2016	8	3	2	3	2	1	5	3	2	8	0	-	9.21388888889	0
BB7_1980	8	3	2	3	2	1	5	3	2	8	0	-	9.19733333333	0
F3-02_2002	7	3	5	3	2	1	5	2	2	10	0	-	9.22933333333	0
Uk24-06_2006	12	3	2	3	2	1	5	2	2	10	0	-	9.232	0
2015TE1618911_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.21411111111	0
2016TE634411_2016	11	3	2	3	2	1	5	3	2	10	0	-	9.201	0
VRI-6856-11_2011	39	3	2	24	2	1	5	3	2	8	0	-	9.19966666667	0
2014TE1651012_2014	11	3	2	3	2	1	5	3	2	10	0	-	9.22833333333	0
I-216_1970	8	3	2	3	2	1	5	3	2	8	0	-	9.168	0
KU-RCF-96_2014	8	3	2	3	2	1	5	3	2	8	0	-	9.17055555556	0
Babortus-2308_1940	5	2	1	1	2	1	4	1	1	1	0	-	9.17222222222	0
BwIM-SYR-26_2015	8	3	2	3	2	1	5	3	2	8	0	-	9.18388888889	0
BMM13-15_2015	39	3	2	24	2	1	5	3	2	8	0	-	9.18855555556	0
KU-RCF-31_2014	8	3	2	3	2	1	5	3	2	8	0	-	9.16766666667	0
2011TE449111_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.189	0
2011TE683711_2011	88	3	2	3	2	27	5	3	2	10	0	-	9.17477777778	0
BmIND1_2007	8	3	2	3	2	1	5	3	2	8	0	-	9.18633333333	0
2015CB2220119_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.21433333333	0
2011TE683811_2011	88	3	2	3	2	27	5	3	2	10	0	-	9.18833333333	0
2011TE1237211_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.19922222222	0
BwIM-SAU-09_2015	8	3	2	3	2	1	5	3	2	8	0	-	9.16966666667	0
BwIM-XXX-22_2015	8	3	2	3	2	1	5	3	2	8	0	-	9.18388888889	0
Ether-VerB_Unknown	9	3	2	3	2	1	5	3	2	9	0	-	9.21377777778	0
LMN18_2018	8	3	2	3	2	1	5	3	2	8	0	-	9.168	0
BwIM-TUR-27_2015	8	3	2	3	2	1	5	3	2	8	0	-	9.22411111111	0
01-3016-5171_2001	11	3	2	3	2	1	5	3	2	10	0	-	9.214	0
UK14-06_2006	12	3	2	3	2	1	5	2	2	10	0	-	9.24844444444	0
UK29-05_2005	40	3	2	25	2	1	5	3	2	8	0	-	9.19822222222	0
2015TE1616512_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.20188888889	0
VRI6856-11_2011	39	3	2	24	2	1	5	3	2	8	0	-	9.19966666667	0
BB10_2012	8	3	2	3	2	1	5	3	2	8	0	-	9.17033333333	0
BL_2012	8	3	2	3	2	1	5	3	2	8	0	-	9.21377777778	0
BmWS93_2015	8	3	2	3	2	1	5	3	2	8	0	-	9.19766666667	0
2015TE1184913_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.187	0
2011TE1182811_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.20211111111	0
02-7258_Unknown	8	3	2	3	2	1	5	3	2	8	0	-	9.212	0
UK37-05_2005	8	3	2	3	2	1	5	3	2	8	0	-	9.22788888889	0
02-5863-1_Unknown	8	3	2	3	2	1	5	3	2	8	0	-	9.23955555556	0
NIPH-Bru46_2016	12	3	2	3	2	1	5	2	2	10	0	-	9.21444444444	0
BwIM-JOR-13_2015	8	3	2	3	2	1	5	3	2	8	0	-	9.19811111111	0
NIPH-Bru48_2016	8	3	2	3	2	1	5	3	2	8	0	-	9.23044444444	0
Human-CT-US-1995_1995	11	3	2	3	2	1	5	3	2	10	0	-	9.214	0
F8-01-155_2001	8	3	2	3	2	1	5	3	2	8	0	-	9.20244444444	0
NIPH-Bru43_2015	8	3	2	3	2	1	5	3	2	8	0	-	9.18611111111	0
NIPH-Bru8_2003	8	3	2	3	2	1	5	3	2	8	0	-	9.18411111111	0
I-136_1959	8*	3*	2	3	2	1	5	3	2	8	gap-3/1indel	-	9.18711111111	0
2015TE2182511_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.20211111111	0
2015IS594717_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.21611111111	0
2015IS2529114_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.21366666667	0
BB18_2013	8	3	2	3	2	1	5	3	2	8	0	-	9.2	0
2011TE199411_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.20233333333	0
BwIM-TUR-30_2014	8	3	2	3	2	1	5	3	2	8	0	-	9.21355555556	0
BwIM-TUR-19_2014	8	3	2	3	2	1	5	3	2	8	0	-	9.17433333333	0
Phil1136_2012	39	3	2	24	2	1	5	3	2	8	0	-	9.17433333333	0
UBA11147_Unknown	11	3	2	3	2	1	5	3	2	10	0	-	9.21377777778	0
2012TE1848511_2012	11	3	2	3	2	1	5	3	2	10	0	-	9.18577777778	0
2016TE600811_2016	11	3	2	3	2	1	5	3	2	10	0	-	9.21366666667	0
BwIM-ITA-55_2016	11	3	2	3	2	1	5	3	2	10	0	-	9.18844444444	0
