Query	Match	Name	Organism
group_10	WP_004684705	MULTISPECIES: heavy metal translocating P-type ATPase [Brucella]	Brucella
group_1022	WP_002963433	MULTISPECIES: urease subunit beta [Brucella]	Brucella
group_1048	WP_005974460	DUF808 family protein [Brucella melitensis]	Brucella melitensis
group_105	WP_004685454	threonylcarbamoyl-AMP synthase [Brucella melitensis]	Brucella melitensis
group_1051	WP_141049035	polysaccharide biosynthesis/export family protein [Brucella melitensis]	Brucella melitensis
group_1054	AAL54120	transcriptional regulator, gntr family [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
group_1071	AEQ09522	hypothetical protein BMNI_I1903 [Brucella melitensis NI]	Brucella melitensis NI
group_1098	WP_004685349	DsbE family thiol:disulfide interchange protein [Brucella melitensis]	Brucella melitensis
group_1113	AAL54262	3-hydroxybutyryl-CoA dehydrogenase [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
group_1146	WP_004685839	MOSC domain-containing protein [Brucella melitensis]	Brucella melitensis
group_1151	WP_004685831	propionyl-CoA synthetase [Brucella melitensis]	Brucella melitensis
group_1153	AAL51512	hypothetical protein BMEI0331 [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
group_1179	WP_016650832	UDP-N-acetylmuramate--L-alanine ligase [Brucella abortus]	Brucella abortus
group_1189	WP_002964450	MULTISPECIES: DedA family protein [Brucella]	Brucella
group_1228	WP_004685460	MULTISPECIES: histone deacetylase family protein [Brucella]	Brucella
group_1256	ADZ65313	conserved hypothetical protein [Brucella melitensis M28]	Brucella melitensis M28
group_1287	WP_004685162	ABC transporter permease [Brucella melitensis]	Brucella melitensis
group_129	WP_002964543	MULTISPECIES: UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase [Brucella]	Brucella
group_1310	WP_002964026	MULTISPECIES: DUF1127 domain-containing protein [Brucella]	Brucella
group_1318	ALM34302	hypothetical protein BME20236_I0842 [Brucella melitensis]	Brucella melitensis
group_1326	WP_002963957	MULTISPECIES: ABC transporter ATP-binding protein [Brucella]	Brucella
group_1343	AAL53836	hypothetical protein BMEII0594 [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
group_1359	WP_002963808	MULTISPECIES: tyrosine phosphatase family protein [Brucella]	Brucella
group_1372	EEZ11896	patatin [Brucella melitensis bv. 3 str. Ether]	Brucella melitensis bv. 3 str. Ether
group_1374	WP_004685652	class I SAM-dependent methyltransferase [Brucella melitensis]	Brucella melitensis
group_1399	AIB17257	Mobile element protein [Brucella suis bv. 2]	Brucella suis bv. 2
group_1419	WP_002963567	MULTISPECIES: DUF6101 family protein [Brucella]	Brucella
group_1429	ACO00163	integral membrane sensor signal transduction histidine kinase [Brucella melitensis ATCC 23457]	Brucella melitensis ATCC 23457
group_144	WP_004685164	MULTISPECIES: sulfatase [Brucella]	Brucella
group_1473	WP_006192153	MULTISPECIES: GntR family transcriptional regulator [Brucella]	Brucella
group_148	WP_005968944	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_149	KFJ62855	hypothetical protein DK59_3008 [Brucella abortus bv. 4 str. 292]	Brucella abortus bv. 4 str. 292
group_1498	WP_002966241	MULTISPECIES: phosphomannomutase [Brucella]	Brucella
group_1509	WP_002964985	MULTISPECIES: TraB/GumN family protein [Brucella]	Brucella
group_1522	WP_006169925	MULTISPECIES: gamma-glutamylcyclotransferase [Brucella]	Brucella
group_1525	AAL51250	exodeoxyribonuclease iii [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
group_1528	WP_002968005	MULTISPECIES: BolA family transcriptional regulator [Brucella]	Brucella
group_1532	WP_004685278	Maf-like protein [Brucella melitensis]	Brucella melitensis
group_157	WP_002966824	MULTISPECIES: flagellar biosynthetic protein FliO [Brucella]	Brucella
group_1592	ACO02066	Hypothetical protein, conserved [Brucella melitensis ATCC 23457]	Brucella melitensis ATCC 23457
group_1620	EEH13257	fusaric acid resistance protein FusB / fusaric acid resistance protein FusC [Brucella ceti str. Cudo]	Brucella ceti str. Cudo
group_1627	WP_004685838	M48 family metalloprotease [Brucella melitensis]	Brucella melitensis
group_1631	WP_002964813	MULTISPECIES: DUF4164 domain-containing protein [Brucella]	Brucella
group_1634	WP_002964806	MULTISPECIES: GntR family transcriptional regulator [Brucella]	Brucella
group_1638	AIJ86403	hypothetical protein DK62_1853 [Brucella melitensis bv. 3 str. Ether]	Brucella melitensis bv. 3 str. Ether
group_1640	AAX74982	glutamine amidotransferase, hypothetical [Brucella abortus bv. 1 str. 9-941]	Brucella abortus bv. 1 str. 9-941
group_1654	AAL51601	oxidoreductase [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
group_1740	WP_032450217	exodeoxyribonuclease VII large subunit [Brucella sp. NVSL 07-0026]	Brucella sp. NVSL 07-0026
group_1745	ABQ60681	conserved hypothetical protein [Brucella ovis ATCC 25840]	Brucella ovis ATCC 25840
group_1787	WP_002965533	MULTISPECIES: UPF0262 family protein [Brucella]	Brucella
group_1789	WP_006072075	hypothetical protein [Brucella suis]	Brucella suis
group_1791	WP_002965510	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_1798	ABQ60648	glyoxalase family protein [Brucella ovis ATCC 25840]	Brucella ovis ATCC 25840
group_1801	ENQ91695	integration host factor subunit beta [Brucella melitensis F5/07-239A]	Brucella melitensis F5/07-239A
group_1825	WP_004683729	MULTISPECIES: molybdenum cofactor guanylyltransferase [Brucella]	Brucella
group_1830	WP_002964046	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_1832	WP_002964036	MULTISPECIES: acetyl-CoA carboxylase biotin carboxyl carrier protein [Brucella]	Brucella
group_1850	ACN99946	Hypothetical protein, conserved [Brucella melitensis ATCC 23457]	Brucella melitensis ATCC 23457
group_1853	AAN33910	conserved hypothetical protein [Brucella suis 1330]	Brucella suis 1330
group_1861	AEK56146	hypothetical protein BPI_II722 [Brucella pinnipedialis B2/94]	Brucella pinnipedialis B2/94
group_1877	WP_002966738	MULTISPECIES: peptidylprolyl isomerase [Brucella]	Brucella
group_1896	AIJ85977	hypothetical protein DK62_614 [Brucella melitensis bv. 3 str. Ether]	Brucella melitensis bv. 3 str. Ether
group_1897	ENT45767	hypothetical protein B986_00001, partial [Brucella suis F5/05-10]	Brucella suis F5/05-10
group_1908	WP_004689683	hypothetical protein [Brucella suis]	Brucella suis
group_1914	WP_002967636	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_1925	EEY07771	LOW QUALITY PROTEIN: transposase, partial [Brucella pinnipedialis M163/99/10]	Brucella pinnipedialis M163/99/10
group_1929	WP_004683169	MULTISPECIES: DUF721 domain-containing protein [Brucella]	Brucella
group_1932	ADZ86450	conserved hypothetical protein [Brucella melitensis M5-90]	Brucella melitensis M5-90
group_1934	ACO00274	acyl carrier protein [Brucella melitensis ATCC 23457]	Brucella melitensis ATCC 23457
group_1951	WP_002963480	MULTISPECIES: response regulator transcription factor [Brucella]	Brucella
group_1954	AAN29242	hypothetical protein BR0293 [Brucella suis 1330]	Brucella suis 1330
group_1957	WP_004684796	creatininase family protein [Brucella melitensis]	Brucella melitensis
group_1961	AIJ87498	putative membrane protein [Brucella melitensis bv. 3 str. Ether]	Brucella melitensis bv. 3 str. Ether
group_1986	WP_070329529	MULTISPECIES: monovalent cation/H(+) antiporter subunit G [Brucella]	Brucella
group_1995	WP_002966169	MULTISPECIES: YeeE/YedE family protein [Brucella]	Brucella
group_2022	WP_025200779	hypothetical protein [Brucella melitensis]	Brucella melitensis
group_2023	EPZ75998	ArsR family transcriptional regulator [Brucella melitensis ADMAS-G1]	Brucella melitensis ADMAS-G1
group_2039	WP_002965069	MULTISPECIES: L,D-transpeptidase [Brucella]	Brucella
group_2052	WP_002965221	MULTISPECIES: helix-turn-helix domain-containing protein [Brucella]	Brucella
group_2056	AIJ54560	2-hydroxyacid dehydrogenase domain protein [Brucella abortus]	Brucella abortus
group_2062	WP_002968059	MULTISPECIES: glyoxylate/hydroxypyruvate reductase A [Brucella]	Brucella
group_2074	WP_002964259	MULTISPECIES: septum formation initiator family protein [Brucella]	Brucella
group_2092	WP_002965604	MULTISPECIES: methylglyoxal synthase [Brucella]	Brucella
group_2096	WP_127840849	RidA family protein [Brucella melitensis]	Brucella melitensis
group_2108	AIJ51468	major facilitator superfamily transporter cis,cis-muconate transporter domain protein [Brucella abortus]	Brucella abortus
group_2115	WP_023081062	DoxX family protein [Brucella sp. 04-5288]	Brucella sp. 04-5288
group_2130	EEP61658	IRON(III)-transport system permease protein SFUB [Brucella abortus str. 2308 A]	Brucella abortus str. 2308 A
group_2135	WP_004685132	MULTISPECIES: aminotransferase class IV family protein [Brucella]	Brucella
group_215	WP_004684936	MULTISPECIES: branched-chain amino acid ABC transporter permease [Brucella]	Brucella
group_2150	ENQ92166	chorismate mutase [Brucella melitensis F5/07-239A]	Brucella melitensis F5/07-239A
group_2155	EFG38655	hypothetical protein BAZG_03149 [Brucella sp. NVSL 07-0026]	Brucella sp. NVSL 07-0026
group_2162	WP_002964839	MULTISPECIES: glycine zipper 2TM domain-containing protein [Brucella]	Brucella
group_2165	ADZ87679	conserved hypothetical protein [Brucella melitensis M5-90]	Brucella melitensis M5-90
group_2166	WP_002964825	MULTISPECIES: DUF1192 domain-containing protein [Brucella]	Brucella
group_2189	WP_005972833	N-acetyltransferase [Brucella melitensis]	Brucella melitensis
group_2190	WP_004685794	N-acetyltransferase [Brucella melitensis]	Brucella melitensis
group_2219	EEP63268	urease, beta subunit [Brucella abortus str. 2308 A]	Brucella abortus str. 2308 A
group_2230	WP_002964396	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_2350	WP_002964653	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_2383	AAL52860	hypothetical protein BMEI1679 [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
group_2386	WP_002967122	MULTISPECIES: transcriptional regulator [Brucella/Ochrobactrum group]	Brucella/Ochrobactrum group
group_2387	WP_002965516	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_240	WP_004684525	MULTISPECIES: dihydrodipicolinate synthase family protein [Brucella]	Brucella
group_2403	WP_004681179	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_2408	SCD25411	branched-chain amino acid ABC transporter ATP-binding protein [Brucella inopinata]	Brucella inopinata
group_2410	WP_002970845	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_2426	WP_002967499	MULTISPECIES: DUF6107 family protein [Brucella]	Brucella
group_2429	ADZ65715	conserved hypothetical protein [Brucella melitensis M28]	Brucella melitensis M28
group_2432	WP_004683475	MULTISPECIES: phage portal protein [Brucella]	Brucella
group_2441	AIJ52045	response regulator [Brucella abortus]	Brucella abortus
group_2462	WP_002966695	MULTISPECIES: Hsp70 family protein [Brucella]	Brucella
group_2468	AIJ52432	hypothetical protein DK48_1800 [Brucella abortus]	Brucella abortus
group_2478	WP_002968969	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_2486	AEQ10061	hypothetical protein BMNI_II0351 [Brucella melitensis NI]	Brucella melitensis NI
group_2502	WP_002971847	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_2513	EEH13032	Excinuclease ABC C subunit domain protein [Brucella ceti str. Cudo]	Brucella ceti str. Cudo
group_2515	WP_002966341	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_2520	AAN33383	conserved hypothetical protein [Brucella suis 1330]	Brucella suis 1330
group_2527	AIJ50976	hypothetical protein DK48_2573 [Brucella abortus]	Brucella abortus
group_2528	ADZ88227	conserved hypothetical protein [Brucella melitensis M5-90]	Brucella melitensis M5-90
group_2541	AAX75039	hypothetical protein BruAb1_1720 [Brucella abortus bv. 1 str. 9-941]	Brucella abortus bv. 1 str. 9-941
group_2544	AIJ86269	enoyl-(Acyl carrier) reductase family protein [Brucella melitensis bv. 3 str. Ether]	Brucella melitensis bv. 3 str. Ether
group_2545	WP_094283660	MULTISPECIES: helix-turn-helix transcriptional regulator [Brucella]	Brucella
group_2546	AAN30497	hypothetical protein BR1592 [Brucella suis 1330]	Brucella suis 1330
group_2551	WP_002964603	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_2570	AAN30105	hypothetical protein BR1185 [Brucella suis 1330]	Brucella suis 1330
group_2581	WP_002965885	MULTISPECIES: DUF1656 domain-containing protein [Brucella]	Brucella
group_274	ABX61147	Hypothetical protein, conserved [Brucella canis ATCC 23365]	Brucella canis ATCC 23365
group_3	WP_087920702	DUF2249 domain-containing protein [Brucella melitensis]	Brucella melitensis
group_317	WP_004685477	SURF1 family protein [Brucella melitensis]	Brucella melitensis
group_348	WP_002965117	MULTISPECIES: ABC transporter substrate-binding protein [Brucella]	Brucella
group_3581	WP_004683737	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_3586	AAN30841	hypothetical protein BR1949 [Brucella suis 1330]	Brucella suis 1330
group_3590	SBW13357	cytochrome o ubiquinol oxidase subunit III [Brucella sp. 10RB9215]	Brucella sp. 10RB9215
group_3592	AAN30322	hypothetical protein BR1409 [Brucella suis 1330]	Brucella suis 1330
group_3595	WP_002967723	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_3596	WP_004681873	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_3598	WP_002967056	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_36	WP_062859406	hydantoinase B/oxoprolinase family protein [Brucella melitensis]	Brucella melitensis
group_3600	WP_002963554	MULTISPECIES: membrane protein [Brucella]	Brucella
group_3613	AEQ09584	hypothetical protein BMNI_I1965 [Brucella melitensis NI]	Brucella melitensis NI
group_3614	EEY04664	conserved hypothetical protein [Brucella neotomae 5K33]	Brucella neotomae 5K33
group_3616	WP_004683653	MULTISPECIES: DUF1476 domain-containing protein [Brucella]	Brucella
group_3619	WP_002967036	MULTISPECIES: DUF2628 domain-containing protein [Brucella]	Brucella
group_3620	ABY37339	Hypothetical protein, conserved [Brucella suis ATCC 23445]	Brucella suis ATCC 23445
group_3624	WP_002963803	MULTISPECIES: holo-ACP synthase [Brucella]	Brucella
group_3644	ABY40245	Hypothetical protein, conserved [Brucella suis ATCC 23445]	Brucella suis ATCC 23445
group_3646	ABQ61372	expressed protein [Brucella ovis ATCC 25840]	Brucella ovis ATCC 25840
group_3647	WP_002963558	MULTISPECIES: DUF2007 domain-containing protein [Brucella]	Brucella
group_3655	ABY39847	Hypothetical protein, conserved [Brucella suis ATCC 23445]	Brucella suis ATCC 23445
group_3657	WP_006280547	DUF1232 domain-containing protein [Brucella suis]	Brucella suis
group_3661	ABQ61306	conserved hypothetical protein [Brucella ovis ATCC 25840]	Brucella ovis ATCC 25840
group_3665	ADZ67611	conserved hypothetical protein [Brucella melitensis M28]	Brucella melitensis M28
group_367	WP_002964872	MULTISPECIES: FAD-binding oxidoreductase [Brucella]	Brucella
group_3671	WP_005968947	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_3672	WP_002963968	MULTISPECIES: BolA family transcriptional regulator [Brucella]	Brucella
group_3693	ACD72221	hypothetical protein BAbS19_I06900 [Brucella abortus S19]	Brucella abortus S19
group_3695	WP_008504311	YMGG-like glycine zipper-containing protein [Brucella inopinata]	Brucella inopinata
group_3701	WP_019298724	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_3707	EEH12849	Hypothetical protein, conserved [Brucella ceti str. Cudo]	Brucella ceti str. Cudo
group_3725	WP_004691025	MULTISPECIES: 50S ribosomal protein L25/general stress protein Ctc [Brucella]	Brucella
group_3733	WP_002963582	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_3756	WP_002965353	MULTISPECIES: DUF930 domain-containing protein [Brucella]	Brucella
group_3778	ENR20398	hypothetical protein C050_02635 [Brucella suis 92/63]	Brucella suis 92/63
group_3791	WP_008936494	MULTISPECIES: DUF3597 domain-containing protein [Brucella]	Brucella
group_3817	AAL52360	integration host factor alpha-subunit [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
group_3863	ACO00765	Hypothetical protein, conserved [Brucella melitensis ATCC 23457]	Brucella melitensis ATCC 23457
group_3868	WP_002964730	MULTISPECIES: PepSY domain-containing protein [Brucella]	Brucella
group_3898	AAL53651	osmotically inducible protein c [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
group_3922	WP_002967489	MULTISPECIES: GreA/GreB family elongation factor [Brucella]	Brucella
group_3929	WP_004685418	NUDIX domain-containing protein [Brucella melitensis]	Brucella melitensis
group_3951	WP_127840833	hypothetical protein [Brucella melitensis]	Brucella melitensis
group_396	WP_004690200	MULTISPECIES: ABC transporter permease [Brucella]	Brucella
group_3972	WP_002964125	MULTISPECIES: phosphoglycolate phosphatase [Brucella]	Brucella
group_4012	AAL51213	hypothetical cytosolic protein [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
group_4072	WP_002964234	MULTISPECIES: HU family DNA-binding protein [Brucella]	Brucella
group_4073	AAL52357	hypothetical protein BMEI1176 [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
group_4074	WP_004685275	hypothetical protein [Brucella melitensis]	Brucella melitensis
group_4083	WP_006079444	hypothetical protein [Brucella abortus]	Brucella abortus
group_4087	WP_002964516	MULTISPECIES: ribbon-helix-helix domain-containing protein [Brucella]	Brucella
group_4096	WP_002965766	MULTISPECIES: DUF1737 domain-containing protein [Brucella/Ochrobactrum group]	Brucella/Ochrobactrum group
group_4102	WP_004683967	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_4103	WP_004685241	YaiI/YqxD family protein [Brucella melitensis]	Brucella melitensis
group_4117	WP_002963529	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_4120	WP_002971711	MULTISPECIES: VOC family protein [Brucella]	Brucella
group_4122	WP_002965314	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_4130	WP_004682193	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_4132	WP_002963525	MULTISPECIES: CcoQ/FixQ family Cbb3-type cytochrome c oxidase assembly chaperone [Brucella]	Brucella
group_4135	WP_002969141	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_4137	WP_006144621	hypothetical protein [Brucella melitensis]	Brucella melitensis
group_4139	WP_002971893	MULTISPECIES: lipoprotein [Brucella]	Brucella
group_4141	EEX87068	predicted protein [Brucella ceti B1/94]	Brucella ceti B1/94
group_4147	EPZ76205	sulfite/nitrite reductase [Brucella melitensis ADMAS-G1]	Brucella melitensis ADMAS-G1
group_4148	WP_004684918	TIGR01244 family sulfur transferase [Brucella melitensis]	Brucella melitensis
group_419	ACO02956	heavy metal translocating P-type ATPase [Brucella melitensis ATCC 23457]	Brucella melitensis ATCC 23457
group_432	WP_004685598	phytoene/squalene synthase family protein [Brucella melitensis]	Brucella melitensis
group_434	WP_004685586	adenosylcobinamide-GDP ribazoletransferase [Brucella melitensis]	Brucella melitensis
group_443	WP_002963765	MULTISPECIES: ATP-binding protein [Brucella]	Brucella
group_466	AAN29367	hypothetical protein BR0424 [Brucella suis 1330]	Brucella suis 1330
group_468	AAL52710	glycyl-tRNA synthetase beta chain [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
group_524	WP_004682483	MULTISPECIES: lysoplasmalogenase [Brucella]	Brucella
group_53	ABQ60956	putative cytochrome c oxidase assembly protein [Brucella ovis ATCC 25840]	Brucella ovis ATCC 25840
group_553	WP_004684087	MULTISPECIES: anthranilate synthase component I [Brucella]	Brucella
group_563	WP_004685716	cobyrinate a,c-diamide synthase [Brucella melitensis]	Brucella melitensis
group_593	WP_004684123	MULTISPECIES: malate synthase G [Brucella]	Brucella
group_609	ADZ86155	conserved hypothetical protein [Brucella melitensis M5-90]	Brucella melitensis M5-90
group_642	WP_004684908	ABC transporter ATP-binding protein [Brucella melitensis]	Brucella melitensis
group_653	AAL52491	hypothetical membrane spanning protein [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
group_664	AAN29701	conserved hypothetical protein [Brucella suis 1330]	Brucella suis 1330
group_670	WP_005973109	DEAD/DEAH box helicase [Brucella melitensis]	Brucella melitensis
group_689	WP_004686588	MULTISPECIES: crotonase/enoyl-CoA hydratase family protein [Brucella]	Brucella
group_699	AAL52813	long-chain-fatty-acid-CoA ligase [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
group_713	WP_004684828	MULTISPECIES: SIS domain-containing protein [Brucella]	Brucella
group_720	WP_005974406	DUF995 domain-containing protein [Brucella melitensis]	Brucella melitensis
group_772	WP_006090617	molybdopterin-synthase adenylyltransferase MoeB [Brucella abortus]	Brucella abortus
group_777	WP_004685336	LysR family transcriptional regulator [Brucella melitensis]	Brucella melitensis
group_790	EEH13021	Hypothetical protein, conserved [Brucella ceti str. Cudo]	Brucella ceti str. Cudo
group_80	ABQ60841	putative Smp-30/Cgr1 family protein [Brucella ovis ATCC 25840]	Brucella ovis ATCC 25840
group_800	WP_004685096	bifunctional riboflavin kinase/FAD synthetase [Brucella melitensis]	Brucella melitensis
group_823	WP_004685828	thiamine phosphate synthase [Brucella melitensis]	Brucella melitensis
group_864	WP_046722184	AraC family transcriptional regulator [Brucella melitensis]	Brucella melitensis
group_867	AAL53925	cytochrome c-type biogenesis protein ccda [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
group_878	WP_004685053	Gfo/Idh/MocA family oxidoreductase [Brucella melitensis]	Brucella melitensis
group_883	SPU56737	ribosomal RNA small subunit methyltransferase E [Brucella melitensis]	Brucella melitensis
group_899	WP_004685802	dipeptide ABC transporter ATP-binding protein [Brucella melitensis]	Brucella melitensis
group_913	AAL52908	glycine betaine/l-proline transport ATP-binding protein prov [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
group_927	WP_086440155	hypothetical protein [Brucella sp. CMUL 035]	Brucella sp. CMUL 035
group_94	WP_004685177	aspartate aminotransferase family protein [Brucella melitensis]	Brucella melitensis
group_946	WP_004683728	MULTISPECIES: transporter substrate-binding domain-containing protein [Brucella]	Brucella
group_954	WP_002964027	MULTISPECIES: DUF2157 domain-containing protein [Brucella]	Brucella
group_958	WP_032451102	sel1 repeat family protein [Brucella melitensis]	Brucella melitensis
group_96	WP_141059725	RNA-binding protein [Brucella melitensis]	Brucella melitensis
group_965	WP_004685362	DEAD/DEAH box helicase [Brucella melitensis]	Brucella melitensis
group_974	WP_004685512	heme lyase CcmF/NrfE family subunit [Brucella melitensis]	Brucella melitensis
group_982	WP_004683498	MULTISPECIES: AAA family ATPase [Brucella]	Brucella
hmrR	WP_004685391	MULTISPECIES: Cu(I)-responsive transcriptional regulator [Brucella]	Brucella
hrpB_2	ADZ65219	ATP-dependent helicase HrpB [Brucella melitensis M28]	Brucella melitensis M28
lptB	ACD71703	ATP/GTP-binding site motif A (P-loop) [Brucella abortus S19]	Brucella abortus S19
lpxD	WP_004683864	MULTISPECIES: 3-hydroxyacyl-ACP dehydratase FabZ [Brucella]	Brucella
map	AAL51900	methionine aminopeptidase [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
mdh	EEH13999	malate dehydrogenase, NAD-dependent [Brucella ceti str. Cudo]	Brucella ceti str. Cudo
mgtA	WP_005974758	magnesium-translocating P-type ATPase [Brucella melitensis]	Brucella melitensis
mnmA	WP_002964692	MULTISPECIES: tRNA 2-thiouridine(34) synthase MnmA [Brucella]	Brucella
mutS	AAL52982	DNA mismatch repair protein muts [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
plsX	WP_004683580	MULTISPECIES: phosphate acyltransferase PlsX [Brucella]	Brucella
polA	WP_006152653	DNA polymerase I [Brucella melitensis]	Brucella melitensis
prfB	WP_145925626	peptide chain release factor 2 [Brucella inopinata]	Brucella inopinata
purH	WP_004684287	MULTISPECIES: bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase [Brucella]	Brucella
queF	WP_002964310	MULTISPECIES: preQ(1) synthase [Brucella]	Brucella
rnk	AAL53899	regulator of nucleoside diphosphate kinase [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
rpiA	WP_002964126	MULTISPECIES: ribose-5-phosphate isomerase RpiA [Brucella]	Brucella
rplN	WP_004683923	MULTISPECIES: 50S ribosomal protein L14 [Brucella/Ochrobactrum group]	Brucella/Ochrobactrum group
rpmC	WP_002964354	MULTISPECIES: 50S ribosomal protein L29 [Brucella]	Brucella
rpmD	WP_002967737	MULTISPECIES: 50S ribosomal protein L30 [Brucella/Ochrobactrum group]	Brucella/Ochrobactrum group
rpmE	WP_002964804	MULTISPECIES: 50S ribosomal protein L31 [Brucellaceae]	Brucellaceae
rpmI	WP_004687777	50S ribosomal protein L35 [Brucella neotomae]	Brucella neotomae
