Query	Match	PIdent	Length	Mismatches	Gapopen	QStart	QEnd	SStart	SSend	Evalue	Bitscore	Taxa
group_1142	WP_006174292	99.752	404	1	0	1	1212	1	404	0	766	234
group_1144	WP_005973051	100	193	0	0	1	579	1	193	9.27e-142	402	29459
group_1145	WP_002964249	100	447	0	0	1	1341	1	447	0	842	234
group_1148	WP_002964728	99.701	334	1	0	1	1002	1	334	0	558	234
group_1150	WP_006148771	99.28	694	5	0	1	2082	1	694	0	1313	29459
group_1152	WP_005972803	100	645	0	0	1	1935	1	645	0	1243	29459
group_1153	WP_005967600	100	374	0	0	1	1122	1	374	0	763	234
group_1154	WP_002969593	100	289	0	0	43	909	15	303	0	540	234
group_1156	WP_004684080	99.757	411	1	0	1	1233	1	411	0	764	234
group_1157	WP_004685790	100	250	0	0	1	750	1	250	3.1e-175	491	29459
group_1158	WP_006152278	100	513	0	0	1	1539	1	513	0	910	29459
group_1159	WP_004684066	100	365	0	0	1	1095	1	365	0	744	234
group_116	WP_004685454	99.69	323	1	0	1	969	1	323	0	635	29459
group_1160	WP_002971389	100	235	0	0	1	705	1	235	2.17e-168	473	234
group_1161	WP_004684060	99.153	236	2	0	7	714	32	267	4.85e-144	412	234
group_1162	WP_002966905	100	150	0	0	1	450	1	150	3.08e-83	251	234
group_1164	WP_004686362	99.254	134	1	0	1	402	1	134	2.3e-46	156	234
group_1165	WP_004684025	99.27	137	1	0	1	411	1	137	1.42e-92	273	234
group_1166	WP_002964542	100	360	0	0	1	1080	1	360	0	656	234
group_1168	WP_016650832	99.788	471	1	0	1	1413	1	471	0	936	235
group_1168	WP_008506257	99.788	471	1	0	1	1413	1	471	0	936	1218315
group_1170	WP_004684013	100	234	0	0	1	702	1	234	8.57e-173	484	234
group_1171	WP_004684004	100	300	0	0	1	900	1	300	0	516	234
group_1173	WP_004685742	100	135	0	0	16	420	1	135	2.02e-93	275	234
group_1174	WP_002964461	99.624	266	1	0	1	798	1	266	9.48e-164	465	234
group_1175	WP_005968073	100	371	0	0	1	1113	1	371	0	749	234
group_1176	WP_002964454	100	259	0	0	1	777	1	259	0	528	234
group_1177	WP_002975819	100	179	0	0	1	537	1	179	3.12e-101	298	234
group_1178	WP_002964450	100	220	0	0	1	660	1	220	3.07e-120	350	234
group_118	WP_004683625	100	558	0	0	1	1674	1	558	0	1078	234
group_1180	WP_002964442	99.838	619	1	0	1	1857	1	619	0	1075	234
group_1181	WP_004683964	100	332	0	0	1	996	1	332	0	686	234
group_1187	WP_004683941	100	439	0	0	1	1317	1	439	0	887	234
group_119	WP_002970710	100	363	0	0	1	1089	1	363	0	692	234
group_1191	WP_002964327	100	404	0	0	1	1212	1	404	0	842	234
group_1192	WP_002964323	100	277	0	0	1	831	1	277	0	561	234
group_1193	WP_002964295	100	140	0	0	1	420	1	140	5.48e-99	290	234
group_1195	WP_005974969	100	405	0	0	1	1215	1	405	0	837	29459
group_1196	WP_004684808	100	135	0	0	1	405	1	135	8.51e-93	273	29459
group_1197	WP_004684814	100	339	0	0	1	1017	1	339	0	656	29459
group_1198	WP_004684816	100	601	0	0	1	1803	1	601	0	1236	29459
group_1200	WP_002967223	100	255	0	0	1	765	1	255	0	508	234
group_1201	WP_004682301	100	242	0	0	1	726	1	242	3.22e-158	447	234
group_1202	WP_004684831	100	427	0	0	1	1281	1	427	0	785	29459
group_1205	WP_002965788	100	346	0	0	1	1038	1	346	0	546	234
group_1207	WP_002965397	100	160	0	0	16	495	1	160	8.32e-110	319	234
group_1210	WP_002967099	100	456	0	0	1	1368	1	456	0	902	234
group_1211	WP_002969528	100	245	0	0	1	735	1	245	3.07e-180	503	234
group_1212	WP_002965447	100	263	0	0	1	789	1	263	6.4e-180	504	234
group_1213	WP_004685386	100	505	0	0	1	1515	1	505	0	1010	29459
group_1214	WP_005973949	100	703	0	0	1	2109	1	703	0	1447	29459
group_1215	WP_004684708	100	312	0	0	1	936	1	312	0	622	234
group_1216	WP_004684717	100	359	0	0	1	1077	1	359	0	732	234
group_1217	WP_002965489	100	244	0	0	1	732	1	244	6e-162	457	234
group_1218	WP_004684720	100	425	0	0	1	1275	1	425	0	879	234
group_1219	WP_005970112	100	195	0	0	1	585	1	195	1.14e-130	374	234
group_1224	WP_002965833	99.286	280	2	0	1	840	1	280	4.29e-147	423	234
group_1225	WP_041594975	100	385	0	0	160	1314	115	499	0	796	29459
group_1226	WP_004682180	99.673	306	1	0	31	948	1	306	2.37e-165	471	234
group_1227	WP_127840850	99.706	340	1	0	1	1020	1	340	0	699	29459
group_1228	WP_004684749	100	326	0	0	1	978	1	326	0	656	29459
group_1229	WP_025198811	99.662	296	1	0	1	888	1	296	0	605	29459
group_123	WP_004685068	100	464	0	0	1	1392	1	464	0	919	29459
group_1230	WP_002965570	100	282	0	0	1	846	1	282	0	522	234
group_1232	WP_004685197	100	293	0	0	1	879	1	293	0	545	29459
group_1233	WP_002966657	100	111	0	0	1	333	1	111	3.85e-53	171	234
group_1235	WP_002966646	100	348	0	0	1	1044	1	348	0	635	234
group_1237	WP_004685460	100	316	0	0	1	948	1	316	0	596	234
group_1238	WP_005973381	100	436	0	0	1	1308	1	436	0	807	29459
group_1239	WP_155245681	94.737	38	2	0	129	16	41	78	4.7e-08	53.5	29461
group_124	WP_202088022	100	157	0	0	1	471	3	159	7.09e-70	231	234
group_1240	WP_198430219	100	230	0	0	690	1	8	237	8.23e-121	354	235
group_1241	WP_004685583	100	253	0	0	1	759	1	253	2.61e-154	439	29459
group_1242	WP_006137083	100	251	0	0	1	753	1	251	4.81e-163	461	234
group_1243	WP_006173708	94.444	54	3	0	1	162	1	54	1.88e-27	102	234
group_1245	WP_025199963	100	164	0	0	1	492	40	203	8.07e-118	340	235
group_1246	WP_141059687	100	274	0	0	822	1	29	302	0	556	29459
group_1247	WP_004685562	100	195	0	0	1	585	1	195	7.55e-140	397	29459
group_1248	WP_002967494	100	445	0	0	1	1335	1	445	0	782	234
group_1249	WP_002968106	100	430	0	0	1	1290	1	430	0	783	235
group_1249	WP_006127242	100	430	0	0	1	1290	1	430	0	783	235
group_1249	WP_006104438	100	430	0	0	1	1290	1	430	0	783	235
group_1250	WP_004685648	100	342	0	0	1	1026	1	342	0	647	234
group_1251	WP_004685072	100	398	0	0	1	1194	9	406	0	547	29459
group_1252	WP_195667283	99.618	523	2	0	1	1569	1995	2517	0	1007	235
group_1256	WP_005974799	99.615	260	1	0	1	780	1	260	1.66e-179	503	29459
group_1257	WP_002967144	100	234	0	0	1	702	1	234	7.68e-166	466	234
group_1258	WP_004685162	100	246	0	0	1	738	1	246	9.76e-169	474	29459
group_126	WP_002964543	100	481	0	0	1	1443	1	481	0	891	234
group_1261	WP_162494811	100	30	0	0	1	90	1	30	2.6e-12	63.9	29459
group_1262	WP_002968810	100	196	0	0	1	588	7	202	3.46e-144	409	234
group_1263	WP_004685152	99.744	391	1	0	1	1173	1	391	0	734	29459
group_1264	WP_002966540	98.507	67	1	0	1	201	1	67	9.88e-31	111	234
group_1265	WP_004681194	100	296	0	0	1	888	1	296	0	603	234
group_1266	WP_002966530	100	132	0	0	1	396	1	132	6.49e-70	215	234
group_1267	WP_002972210	100	484	0	0	1	1452	1	484	0	945	234
group_1268	WP_004681215	100	172	0	0	1	516	1	172	2.82e-108	316	234
group_1269	WP_002966517	100	239	0	0	1	717	1	239	2.19e-176	493	234
group_1270	WP_002966512	100	116	0	0	1	348	1	116	1.48e-62	196	234
group_1272	WP_004684772	100	279	0	0	1	837	1	279	0	526	234
group_1273	WP_006074159	100	238	0	0	1	714	31	268	4.36e-167	471	29461
group_1274	WP_002968608	100	328	0	0	1	984	1	328	0	636	234
group_1276	WP_002965619	100	201	0	0	1	603	1	201	3.35e-131	376	234
group_1278	WP_002967375	100	234	0	0	1	702	1	234	2.09e-171	480	234
group_1279	WP_006097810	98.876	267	3	0	1	801	1	267	6.22e-162	459	235
group_1281	WP_004684781	99.561	228	1	0	1	684	1	228	5.88e-149	423	29459
group_1282	WP_002965649	100	201	0	0	1	603	1	201	2.01e-143	407	234
group_1283	WP_004692146	99.054	317	3	0	1	951	1	317	4.79e-136	398	29461
group_1284	WP_002965659	100	114	0	0	76	417	1	114	1.19e-76	232	234
group_1285	WP_004685496	100	390	0	0	1	1170	1	390	0	740	29459
group_1287	WP_002963707	100	129	0	0	1	387	1	129	3.28e-88	261	234
group_1288	WP_002971536	100	80	0	0	1	240	1	80	5.47e-52	166	234
group_1289	WP_002963729	100	115	0	0	1	345	1	115	1.01e-77	234	234
group_1290	WP_004685506	100	203	0	0	1	609	1	203	3.02e-134	384	29459
group_1291	WP_004681527	100	449	0	0	1	1347	1	449	0	785	234
group_1293	WP_004681460	99.659	293	1	0	1	879	1	293	8.71e-160	456	234
group_1294	WP_004681448	100	186	0	0	1	558	1	186	3.69e-115	334	234
group_1295	WP_002972151	100	84	0	0	1	252	1	84	2.27e-52	167	234
group_1297	WP_002968994	100	275	0	0	1	825	1	275	0	565	234
group_1298	WP_002966418	100	405	0	0	1	1215	1	405	0	827	234
group_130	WP_002965733	99.902	1024	1	0	1	3072	1	1024	0	1889	234
group_1300	WP_002966437	100	210	0	0	1	630	1	210	1.03e-143	408	234
group_1303	WP_002966461	100	247	0	0	1	741	1	247	0	506	234
group_1304	WP_004681301	100	353	0	0	1	1059	1	353	0	695	234
group_1306	WP_005974723	100	297	0	0	1	891	1	297	0	576	29459
group_1307	WP_004681263	100	225	0	0	1	675	1	225	1.28e-150	427	234
group_1309	WP_002966492	100	305	0	0	1	915	1	305	0	633	234
group_131	WP_002965745	100	371	0	0	1	1113	1	371	0	758	234
group_1310	WP_002964734	100	273	0	0	1	819	1	273	0	530	234
group_1313	WP_004688666	99.301	143	1	0	1	429	1	143	9.61e-58	186	29460
group_1314	WP_196219057	97.6	125	3	0	1	375	1	125	7.58e-82	245	120577
group_1316	WP_210338575	100	246	0	0	1	738	17	262	0	509	29459
group_1317	WP_127840834	100	533	0	0	1	1599	1	533	0	1057	29459
group_132	WP_005975041	100	517	0	0	1	1551	1	517	0	925	29459
group_1321	WP_004684155	100	349	0	0	1	1047	1	349	0	548	234
group_1322	WP_002964806	100	230	0	0	1	690	1	230	9.19e-162	456	234
group_1323	WP_004685830	100	191	0	0	1	573	1	191	1.01e-127	366	29459
group_1324	WP_002964810	100	274	0	0	1	822	1	274	0	561	234
group_1325	WP_002964813	100	90	0	0	1	270	1	90	5.95e-42	141	234
group_1327	WP_029643122	100	412	0	0	1	1236	2	413	0	684	234
group_1328	WP_004684204	100	334	0	0	1	1002	1	334	0	681	234
group_1329	WP_004685838	100	493	0	0	1	1479	1	493	0	972	29459
group_133	WP_002965414	100	237	0	0	1	711	1	237	6.9e-137	393	234
group_1331	WP_004685843	100	304	0	0	1	912	1	304	0	516	29459
group_1332	WP_002964866	100	114	0	0	1	342	1	114	2.39e-77	233	234
group_1333	WP_004685852	100	137	0	0	1	411	1	137	9.32e-77	233	29459
group_1335	WP_002964883	100	193	0	0	1	579	1	193	4.54e-120	347	234
group_1336	WP_004684277	100	176	0	0	1	528	1	176	7.17e-125	358	234
group_1338	WP_004684303	100	275	0	0	1	825	1	275	0	523	234
group_1339	WP_006097122	100	62	0	0	100	285	19	80	1.62e-35	125	235
group_134	WP_004682204	100	989	0	0	1	2967	1	989	0	1956	234
group_1340	WP_004684306	100	498	0	0	1	1494	1	498	0	1020	234
group_1341	WP_002964915	100	442	0	0	1	1326	1	442	0	845	234
group_1343	WP_002964920	100	224	0	0	1	672	1	224	9.35e-164	460	234
group_1344	WP_006169748	99.459	185	1	0	1	555	1	185	9.05e-118	341	234
group_1345	WP_004684652	100	342	0	0	1	1026	1	342	0	669	234
group_1346	WP_004685351	100	138	0	0	1	414	1	138	2.51e-95	281	29459
group_1348	WP_002965336	100	245	0	0	1	735	1	245	4.28e-171	480	234
group_1349	WP_025210031	99.301	143	1	0	429	1	1	143	2.07e-93	281	235
group_135	WP_004684750	100	358	0	0	1	1074	1	358	0	727	234
group_1350	WP_004684637	100	219	0	0	1	657	1	219	5.08e-154	435	234
group_1351	WP_002965316	100	218	0	0	1	654	1	218	6.16e-137	392	234
group_1352	WP_004684631	100	229	0	0	1	687	1	229	2.36e-168	472	234
group_1353	WP_006152663	100	620	0	0	58	1917	20	639	0	1190	29459
group_1355	WP_002971781	100	251	0	0	1	753	1	251	0	506	234
group_1356	WP_002965282	100	134	0	0	1	402	1	134	2.38e-94	277	234
group_1357	WP_135258456	96.815	157	5	0	1	471	1	157	6.72e-105	307	29461
group_1358	WP_002968064	100	382	0	0	1	1146	1	382	0	768	234
group_1359	WP_002967058	100	287	0	0	1	861	1	287	0	570	234
group_136	WP_004682559	100	337	0	0	1	1011	1	337	0	662	234
group_1361	WP_004684590	100	257	0	0	1	771	1	257	9.39e-178	498	234
group_1362	WP_004685308	100	290	0	0	1	870	1	290	0	597	29459
group_1363	WP_004685307	100	181	0	0	28	570	1	181	4.4e-104	306	29459
group_1365	WP_002965226	100	205	0	0	1	615	13	217	3.89e-144	409	234
group_1368	WP_002968043	100	93	0	0	1	279	1	93	6.64e-44	147	234
group_1369	WP_002965201	100	138	0	0	1	414	1	138	4.68e-93	274	234
group_137	WP_005974992	100	561	0	0	1	1683	1	561	0	1122	234
group_1373	WP_014490229	100	99	0	0	1	297	20	118	1.06e-34	124	234
group_1375	WP_004685284	100	239	0	0	1	717	1	239	5.33e-159	449	29459
group_1376	WP_002965155	97.05	339	10	0	1	1017	1	339	0	679	234
group_1379	WP_002965141	100	126	0	0	1	378	1	126	1.73e-72	221	234
group_138	WP_004685080	100	734	0	0	1	2202	1	734	0	1387	29459
group_1380	WP_004684539	100	369	0	0	1	1107	1	369	0	659	234
group_1381	WP_004684536	100	200	0	0	1	600	1	200	4.89e-128	368	234
group_1382	WP_004685278	99.497	199	1	0	1	597	1	199	2.34e-131	376	29459
group_1383	WP_075678922	100	362	0	0	79	1164	1	362	0	737	235
group_1383	WP_002965127	100	362	0	0	79	1164	1	362	0	737	234
group_1383	WP_032449542	100	362	0	0	79	1164	1	362	0	737	235
group_1385	WP_004691132	99.77	435	1	0	1	1305	1	435	0	793	234
group_1386	WP_002968005	100	104	0	0	1	312	1	104	3.54e-69	211	234
group_1387	WP_004685249	100	359	0	0	1	1077	1	359	0	725	29459
group_1388	WP_002965066	100	268	0	0	1	804	1	268	0	554	234
group_1390	WP_002965059	100	260	0	0	1	780	1	260	0	529	234
group_1391	WP_006169925	100	175	0	0	1	525	1	175	7.26e-127	363	234
group_1392	WP_004684484	100	280	0	0	1	840	1	280	0	573	234
group_1393	WP_002967989	100	195	0	0	1	585	1	195	7.07e-140	397	234
group_1394	WP_004684482	100	248	0	0	1	744	1	248	6.14e-173	485	234
group_1396	WP_002965029	100	435	0	0	1	1305	11	445	0	730	234
group_1397	WP_004685233	100	483	0	0	1	1449	1	483	0	890	29459
group_1398	WP_004685232	100	337	0	0	100	1110	1	337	0	649	29459
group_1399	WP_006090223	100	144	0	0	1	432	138	281	2.77e-98	293	235
group_140	WP_004685898	99.744	390	1	0	1	1170	1	390	0	751	234
group_1400	WP_004684471	100	544	0	0	1	1632	1	544	0	1097	234
group_1404	WP_002964985	100	333	0	0	1	999	1	333	0	620	234
group_1405	WP_002964984	100	315	0	0	1	945	1	315	0	603	234
group_141	WP_004685164	100	495	0	0	1	1485	1	495	0	1028	234
group_1411	WP_006119204	99.515	412	2	0	1	1236	1	412	0	615	235
group_1412	WP_004684408	100	141	0	0	1	423	1	141	3.75e-101	295	234
group_1413	WP_002966723	98.561	139	2	0	10	426	75	213	2.67e-88	265	235
group_1414	WP_002963740	100	188	0	0	1	564	1	188	2.88e-134	382	234
group_1415	WP_118890800	99.27	137	1	0	1	411	1	137	2.27e-84	252	29459
group_1416	WP_206457705	99.408	169	1	0	1	507	1	169	6.42e-83	252	29459
group_1417	WP_014489377	99.078	217	2	0	1	651	1	217	1.3e-144	412	29459
group_1418	WP_006189988	98.734	158	2	0	1	474	1	158	3.01e-79	241	234
group_1419	WP_004683323	100	235	0	0	1	705	1	235	1.74e-168	473	234
group_1420	WP_004685518	100	290	0	0	1	870	1	290	0	587	29459
group_1421	WP_004685519	100	563	0	0	1	1689	1	563	0	1124	29459
group_1423	WP_002963792	100	223	0	0	1	669	1	223	3.12e-164	461	234
group_1424	WP_004683386	100	191	0	0	1	573	1	191	1.97e-136	388	234
group_1425	WP_002963808	100	169	0	0	1	507	1	169	9.13e-109	317	234
group_1426	WP_002963812	100	254	0	0	1	762	1	254	1.99e-172	484	234
group_1427	WP_225868622	100	92	0	0	1	276	27	118	2.12e-50	164	29459
group_1428	WP_002963818	100	55	0	0	1	165	1	55	2.79e-32	114	234
group_1429	WP_004686510	100	272	0	0	1	816	1	272	0	558	234
group_143	WP_005974922	100	331	0	0	1	993	1	331	0	666	29459
group_1430	WP_004685538	100	290	0	0	1	870	1	290	0	560	29459
group_1432	WP_002963862	100	101	0	0	1	303	1	101	1.87e-69	212	234
group_1433	WP_004685548	100	511	0	0	1	1533	1	511	0	966	29459
group_1436	WP_006167407	99.306	144	1	0	1	432	1	144	1.27e-88	264	234
group_1437	WP_008935633	97.674	129	3	0	1	387	1	129	5.22e-14	73.9	2632610
group_144	WP_002963705	100	340	0	0	1	1020	1	340	0	699	234
group_1440	WP_002964060	100	323	0	0	1	969	1	323	0	665	234
group_1441	WP_002964061	100	257	0	0	1	771	1	257	0	506	234
group_1442	WP_002964062	99.793	482	1	0	1	1446	1	482	0	919	234
group_1443	WP_008536920	99.451	910	5	0	1	2730	1	910	0	1724	234
group_1446	WP_004688319	99.623	531	2	0	1	1593	136	666	0	1066	234
group_1447	WP_046722158	100	210	0	0	79	708	27	236	3.2e-151	429	29459
group_1448	WP_127840853	100	81	0	0	1	243	1	81	9.15e-51	163	29459
group_1449	WP_004682112	100	271	0	0	1	813	1	271	2.5e-177	498	234
group_1450	WP_032450217	99.804	511	1	0	1	1533	1	511	0	890	520448
group_1451	WP_004682063	100	293	0	0	1	879	1	293	0	543	234
group_1452	WP_004682054	100	301	0	0	1	903	1	301	0	561	234
group_1453	WP_002968494	100	299	0	0	1	897	1	299	6.52e-178	502	234
group_1454	WP_004684901	100	147	0	0	1	441	1	147	1.61e-68	213	29459
group_1455	WP_002965912	100	269	0	0	1	807	1	269	0	550	234
group_1457	WP_004684912	100	301	0	0	1	903	1	301	0	608	29459
group_1458	WP_004682000	100	175	0	0	1	525	1	175	7.82e-120	345	234
group_1459	WP_002965935	100	426	0	0	1	1278	1	426	0	718	234
group_146	WP_005974650	100	438	0	0	145	1458	49	486	0	907	234
group_1461	WP_002968475	100	338	0	0	1	1014	1	338	0	620	234
