"Genome"	"clusters"
"BwIM-SYR-31_2015"	"2"
"BwIM-SYR-34_2015"	"2"
"BwIM-SYR-41_2016"	"2"
"BwIM-SYR-53_2015"	"2"
"BwIM-TKM-56_2015"	"2"
"BwIM-TUR-02_2016"	"2"
"BwIM-TUR-03_2014"	"2"
"BwIM-TUR-17_2014"	"2"
"BwIM-TUR-19_2014"	"2"
"BwIM-TUR-24_2015"	"2"
"BwIM-TUR-27_2015"	"2"
"BwIM-TUR-30_2014"	"2"
"BwIM-TUR-38_2015"	"2"
"BwIM-TUR-39_2014"	"2"
"BwIM-TUR-40_2014"	"2"
"BwIM-TUR-51_2014"	"2"
"BwIM-TUR-59_2014"	"2"
"BwIM-TUR-5_2014"	"2"
"BwIM-TUR-60_2014"	"2"
"BwIM-XXX-12_2015"	"2"
"BwIM-XXX-22_2015"	"2"
"BwIM-XXX-54_2015"	"2"
"BwIMITA-45_2015"	"1"
"C-554_2012"	"5"
"C-555_2012"	"5"
"C-558_2013"	"5"
"C-567_2014"	"5"
"C-568_2014"	"5"
"C-569_2014"	"4"
"C-570_2014"	"4"
"C-571_2014"	"5"
"C-572_2014"	"4"
"C-573_2014"	"2"
"CIIMS-BH-2_2016"	"2"
"CIIMS-NV-1_2016"	"2"
"CIIMS-NV-5_2016"	"2"
"CIIMS-PH-3_2016"	"1"
"CIT21_2015"	"2"
"CIT31_2015"	"2"
"CIT43_2015"	"2"
"CNGB1076_2006"	"3"
"CNGB1120_2006"	"3"
"CNGB290_1996"	"3"
"Ether-VerA_Unknown"	"1"
"Ether-VerB_Unknown"	"1"
"F1-06B10_2006"	"3"
"F10-05-2_2005"	"3"
"F10-06-16_2006"	"2"
"F15-06-7_2006"	"1"
"F2-06-6_2006"	"2"
"F3-02_2002"	"3"
"F5-07-239A_2007"	"1"
"F6-05-6_2005"	"2"
"F8-01-155_2001"	"2"
"F9-05_2005"	"2"
"Human-CT-US-1995_1995"	"1"
"I-136_1959"	"5"
"I-160_1961"	"5"
"I-194_1965"	"5"
"I-216_1970"	"5"
"I-280_1983"	"5"
"I-308_1986"	"5"
"I-338_1993"	"5"
"I-340_1995"	"5"
"I-349_1999"	"5"
"I-370_2010"	"5"
"KIV-L_2014"	"5"
"KSA-BM-07_2017"	"2"
"KU-RCF-03_2014"	"3"
"KU-RCF-31_2014"	"4"
"KU-RCF-64_2014"	"4"
"KU-RCF-84_2014"	"4"
"KU-RCF-96_2014"	"4"
"LMN17_2018"	"4"
"LMN18_2018"	"4"
"LMN19_2018"	"4"
"LMN20_2018"	"4"
"M28-12_Unknown"	"4"
"M28_Unknown"	"2"
"MY1483-09_2009"	"2"
"NCTC10508_1963"	"2"
"NCTC10509_1961"	"1"
"NCTC8223_1900or1951"	"3"
"NCTC8334_1900or1951"	"2"
"NIPH-Bru11_2010"	"3"
"NIPH-Bru13_2010"	"3"
"NIPH-Bru1_2005"	"3"
"NIPH-Bru24_2012"	"3"
"NIPH-Bru2_2006"	"3"
"NIPH-Bru37_2013"	"3"
"NIPH-Bru40_2014"	"3"
"NIPH-Bru41_2014"	"3"
"NIPH-Bru43_2015"	"3"
"NIPH-Bru44_2015"	"3"
"NIPH-Bru45_2016"	"3"
"NIPH-Bru46_2016"	"3"
"NIPH-Bru47_2016"	"3"
"NIPH-Bru48_2016"	"3"
"NIPH-Bru4_2006"	"3"
"NIPH-Bru5_1999"	"3"
"NIPH-Bru6_1999"	"3"
"NIPH-Bru7_2002"	"3"
"NIPH-Bru8_2003"	"3"
"NIPH-Bru9_2003"	"3"
"NI_2007"	"3"
"Phil1136-12_2012"	"2"
"QH61_2015"	"2"
"QY1_2015"	"2"
"R3-07-2_2007"	"1"
"SKN25_2015"	"5"
"Sep-63_Unknown"	"4"
"UBA11147_Unknown"	"1"
"UBA11435_Unknown"	"3"
"UBA8483_Unknown"	"1"
"UBA8756_Unknown"	"3"
"UK14-06_2006"	"3"
"UK19-04_2005"	"3"
"UK22-04_2004"	"3"
"UK22-06_2006"	"2"
"UK23-06_2006"	"3"
"UK29-05_2005"	"2"
"UK3-06_2006"	"2"
"UK31-99_1999"	"1"
"UK37-05_2005"	"2"
"Uk24-06_2006"	"3"
"VRI-6856-11_2011"	"4"
"VRI4799-15_2015"	"4"
"VRI6530-11_2011"	"4"
"Brancorsini"	"1"
"Geridu"	"1"
