Genome	ST	clusters	Country	Host	Type
BB4_1957	8	Indo-Pacific	China	Human	Modern
BB5_2012	8	Indo-Pacific	China	Human	Modern
BB6_1963	8	Indo-Pacific	China	Goat	Modern
BB7_1980	8	Indo-Pacific	China	Goat	Modern
BB8_1991	8	Indo-Pacific	China	Goat	Modern
BB9_1990	8	Indo-Pacific	China	Goat	Modern
BCB028_1956	8	Indo-Pacific	China	Sheep	Modern
BCB033_2006	8	Indo-Pacific	China	Human	Modern
BG2-S27_2008	8	Fertile Crescent	Pakistan	Goat	Modern
BL_2012	8	Fertile Crescent	China	Cattle	Modern
BMM-13-15_2015	39	Indo-Pacific	Malaysia	Human	Modern
BMM-19-15_2015	39	Indo-Pacific	Malaysia	Human	Modern
BMM15-15_2015	39	Indo-Pacific	Malaysia	Human	Modern
BMM26-15_2015	39	Indo-Pacific	Malaysia	Human	Modern
BRUC048_Unknown	11	Western Mediterranean	Egypt	NA	Modern
BRUC101_Unknown	11	Western Mediterranean	Egypt	NA	Modern
BY38_2013	8	Fertile Crescent	China	Sheep	Modern
BmIND1_2007	8	Indo-Pacific	India	Goat	Modern
BmWS93_2015	8	Fertile Crescent	China	Human	Modern
Brancorsini	Ancient	Western Mediterranean	NA	NA	Ancient
Brm-1252-10-Geo_2010	8	Indo-Pacific	Georgia	Cattle	Modern
Brm-1268-11-Geo_2011	8	Indo-Pacific	Georgia	Cattle	Modern
Brm-1771-12-Geo_2012	8	Indo-Pacific	Georgia	Human	Modern
BwIM-AFG-63_2016	8	Fertile Crescent	Afghanistan	Human	Modern
BwIM-ALB-46_2015	8	Fertile Crescent	Albania	Human	Modern
BwIM-BGR-21_2016	8	Fertile Crescent	Bulgaria	Human	Modern
BwIM-IRN-28_2015	NF	Fertile Crescent	Iran	Human	Modern
BwIM-IRN-37_2015	8	Fertile Crescent	Iran	Human	Modern
BwIM-IRQ-11_2014	8	Fertile Crescent	Iraq	Human	Modern
BwIM-IRQ-32_2014	8	Fertile Crescent	Iraq	Human	Modern
BwIM-IRQ-43_2015	8	Fertile Crescent	Iraq	Human	Modern
BwIM-ITA-55_2016	11	Western Mediterranean	Italy	Human	Modern
BwIM-JOR-13_2015	8	Fertile Crescent	Jordan	Human	Modern
BwIM-KWT-42_2016	8	Fertile Crescent	Kuwait	Human	Modern
BwIM-MAR-25_2016	11	Western Mediterranean	Morocco	Human	Modern
BwIM-SAU-09_2015	8	Fertile Crescent	Saudi Arabia	Human	Modern
BwIM-SOM-36a_2014	12	Africa/America	Somalia	Human	Modern
BwIM-SOM-36b_2014	12	Africa/America	Somalia	Human	Modern
BwIM-SYR-01_2015	8	Fertile Crescent	Syria	Human	Modern
BwIM-SYR-04_2015	8	Fertile Crescent	Syria	Human	Modern
BwIM-SYR-05_2015	8	Fertile Crescent	Syria	Human	Modern
BwIM-SYR-07_2015	8	Fertile Crescent	Syria	Human	Modern
BwIM-SYR-08_2016	8	Fertile Crescent	Syria	Human	Modern
BwIM-SYR-10_2016	8	Fertile Crescent	Syria	Human	Modern
BwIM-SYR-14_2015	8	Fertile Crescent	Syria	Human	Modern
BwIM-SYR-23_2016	8	Fertile Crescent	Syria	Human	Modern
BwIM-SYR-26_2015	8	Fertile Crescent	Syria	Human	Modern
BwIM-SYR-31_2015	8	Fertile Crescent	Syria	Human	Modern
BwIM-SYR-34_2015	8	Fertile Crescent	Syria	Human	Modern
BwIM-SYR-41_2016	8	Fertile Crescent	Syria	Human	Modern
BwIM-SYR-53_2015	8	Fertile Crescent	Syria	Human	Modern
BwIM-TKM-56_2015	71	Fertile Crescent	Turkmenistan	Human	Modern
BwIM-TUR-02_2016	8	Fertile Crescent	Turkey	Human	Modern
BwIM-TUR-03_2014	8	Fertile Crescent	Turkey	Human	Modern
BwIM-TUR-17_2014	8	Fertile Crescent	Turkey	Human	Modern
BwIM-TUR-19_2014	8	Fertile Crescent	Turkey	Human	Modern
BwIM-TUR-24_2015	8	Fertile Crescent	Turkey	Human	Modern
BwIM-TUR-27_2015	8	Fertile Crescent	Turkey	Human	Modern
BwIM-TUR-30_2014	8	Fertile Crescent	Turkey	Human	Modern
BwIM-TUR-38_2015	8	Fertile Crescent	Turkey	Human	Modern
BwIM-TUR-39_2014	8	Fertile Crescent	Turkey	Human	Modern
BwIM-TUR-40_2014	8	Fertile Crescent	Turkey	Human	Modern
BwIM-TUR-51_2014	8	Fertile Crescent	Turkey	Human	Modern
BwIM-TUR-59_2014	8	Fertile Crescent	Turkey	Human	Modern
BwIM-TUR-5_2014	8	Fertile Crescent	Turkey	Human	Modern
BwIM-TUR-60_2014	8	Fertile Crescent	Turkey	Human	Modern
BwIM-XXX-12_2015	8	Fertile Crescent	NA	Human	Modern
BwIM-XXX-22_2015	8	Fertile Crescent	NA	Human	Modern
BwIM-XXX-54_2015	102	Fertile Crescent	NA	Human	Modern
BwIMITA-45_2015	43	Western Mediterranean	Italy	Human	Modern
C-554_2012	8	Russia	Russia	Human	Modern
C-555_2012	8	Russia	Russia	Human	Modern
C-558_2013	8	Russia	Russia	Human	Modern
C-567_2014	8	Russia	Russia	Human	Modern
C-568_2014	8	Russia	Russia	Human	Modern
C-569_2014	8	Indo-Pacific	Russia	Human	Modern
C-570_2014	8	Russia	Russia	Human	Modern
C-571_2014	8	Russia	Russia	Human	Modern
C-572_2014	8	Indo-Pacific	Russia	Human	Modern
C-573_2014	8	Fertile Crescent	Russia	Human	Modern
CIIMS-BH-2_2016	8	Fertile Crescent	India	Human	Modern
CIIMS-NV-1_2016	8	Fertile Crescent	India	animal	Modern
CIIMS-NV-5_2016	8	Fertile Crescent	India	Goat	Modern
CIIMS-PH-3_2016	8	Western Mediterranean	India	Human	Modern
CIT21_2015	8	Fertile Crescent	China	Human	Modern
CIT31_2015	8	Fertile Crescent	China	Human	Modern
CIT43_2015	8	Fertile Crescent	China	Human	Modern
CNGB1076_2006	7	Africa/America	Argentina	Human	Modern
CNGB1120_2006	7	Africa/America	Argentina	Human	Modern
CNGB290_1996	7	Africa/America	Argentina	Human	Modern
Ether-VerA_Unknown	9	Western Mediterranean	NA	NA	Modern
Ether-VerB_Unknown	9	Western Mediterranean	NA	NA	Modern
F1-06B10_2006	12	Africa/America	Zimbabwe	Goat	Modern
F10-05-2_2005	7	Africa/America	Portugal	NA	Modern
F10-06-16_2006	39	Fertile Crescent	Thailand	Human	Modern
F15-06-7_2006	11	Western Mediterranean	Italy	Human	Modern
F2-06-6_2006	8	Fertile Crescent	Portugal	Sheep	Modern
F3-02_2002	7	Africa/America	Norway	Human	Modern
F5-07-239A_2007	11	Western Mediterranean	Italy	Caprinae	Modern
F6-05-6_2005	8	Fertile Crescent	Sudan	Cow	Modern
F8-01-155_2001	8	Fertile Crescent	Kosovo	Cattle	Modern
F9-05_2005	8	Fertile Crescent	Turkey	NA	Modern
Human-CT-US-1995_1995	11	Western Mediterranean	United States	Human	Modern
I-136_1959	8	Russia	Russia	Human	Modern
I-160_1961	8	Russia	Russia	Sheep	Modern
I-194_1965	8	Russia	Russia	Human	Modern
I-216_1970	8	Russia	Russia	Human	Modern
I-280_1983	8	Russia	Russia	Human	Modern
I-308_1986	71	Russia	Russia	Human	Modern
I-338_1993	8	Russia	Russia	Human	Modern
I-340_1995	8	Russia	Russia	Human	Modern
I-349_1999	8	Russia	Russia	Human	Modern
I-370_2010	8	Russia	Russia	Human	Modern
KIV-L_2014	8	Russia	Russia	Human	Modern
KSA-BM-07_2017	8	Fertile Crescent	Saudi Arabia	Sheep	Modern
KU-RCF-03_2014	12	Africa/America	Kuwait	Human	Modern
KU-RCF-31_2014	8	Indo-Pacific	Kuwait	Human	Modern
KU-RCF-64_2014	8	Indo-Pacific	Kuwait	Human	Modern
KU-RCF-84_2014	8	Indo-Pacific	Kuwait	Human	Modern
KU-RCF-96_2014	8	Indo-Pacific	Kuwait	Human	Modern
LMN17_2018	8	Indo-Pacific	India	Goat	Modern
LMN18_2018	8	Indo-Pacific	India	Goat	Modern
LMN19_2018	8	Indo-Pacific	Italy	Sheep	Modern
LMN20_2018	8	Indo-Pacific	India	Goat	Modern
M28-12_Unknown	8	Indo-Pacific	NA	NA	Modern
M28_Unknown	8	Fertile Crescent	NA	Sheep	Modern
MY1483-09_2009	39	Indo-Pacific	Malaysia	Human	Modern
NCTC10508_1963	8	Fertile Crescent	India	Human	Modern
NCTC10509_1961	9	Western Mediterranean	Norway	Human	Modern
NCTC8223_1900or1951	12	Africa/America	NA	NA	Modern
NCTC8334_1900or1951	39	Fertile Crescent	NA	Human	Modern
NIPH-Bru11_2010	12	Africa/America	Somalia	Human	Modern
NIPH-Bru13_2010	NIPH	Africa/America	Iraq	Human	Modern
NIPH-Bru1_2005	12	Africa/America	NA	Human	Modern
NIPH-Bru24_2012	12	Africa/America	Ethiopia	Human	Modern
NIPH-Bru2_2006	NIPH	Africa/America	Iraq	Human	Modern
NIPH-Bru37_2013	NIPH	Africa/America	Norway	Human	Modern
NIPH-Bru40_2014	NIPH	Africa/America	Israel	Human	Modern
NIPH-Bru41_2014	NIPH	Africa/America	Norway	Human	Modern
NIPH-Bru43_2015	NIPH	Africa/America	Afghanistan	Human	Modern
NIPH-Bru44_2015	NIPH	Africa/America	Turkey	Human	Modern
NIPH-Bru45_2016	NIPH	Africa/America	NA	Human	Modern
NIPH-Bru46_2016	12	Africa/America	Somalia	Human	Modern
NIPH-Bru47_2016	NIPH	Africa/America	Norway	Human	Modern
NIPH-Bru48_2016	NIPH	Africa/America	Iraq	Human	Modern
NIPH-Bru4_2006	12	Africa/America	Ethiopia	Human	Modern
NIPH-Bru5_1999	NIPH	Africa/America	NA	Human	Modern
NIPH-Bru6_1999	NIPH	Africa/America	Iraq	Human	Modern
NIPH-Bru7_2002	NIPH	Africa/America	Georgia	Human	Modern
NIPH-Bru8_2003	NIPH	Africa/America	Norway	Human	Modern
NIPH-Bru9_2003	12	Africa/America	Somalia	Human	Modern
NI_2007	NIPH	Africa/America	China	Cattle	Modern
Phil1136-12_2012	39	Indo-Pacific	Malaysia	Human	Modern
QH61_2015	8	Fertile Crescent	China	Yak	Modern
QY1_2015	8	Fertile Crescent	China	Sheep	Modern
R3-07-2_2007	43	Western Mediterranean	NA	NA	Modern
SKN25_2015	8	Russia	India	Sheep	Modern
Sep-63_Unknown	8	Indo-Pacific	NA	NA	Modern
UBA11147_Unknown	11	Western Mediterranean	Italy	Human	Modern
UBA11435_Unknown	7	Africa/America	NA	NA	Modern
UBA8483_Unknown	11	Western Mediterranean	Italy	Human	Modern
UBA8756_Unknown	7	Africa/America	NA	NA	Modern
UK14-06_2006	12	Africa/America	Somalia	Human	Modern
UK19-04_2005	12	Africa/America	Somalia	Human	Modern
UK22-04_2004	10	Africa/America	United Kingdom	Human	Modern
UK22-06_2006	42	Fertile Crescent	Somalia	Human	Modern
UK23-06_2006	12	Africa/America	Somalia	Human	Modern
UK29-05_2005	40	Fertile Crescent	United Kingdom	Human	Modern
UK3-06_2006	8	Fertile Crescent	Cyprus	Human	Modern
UK31-99_1999	11	Western Mediterranean	Egypt	Human	Modern
UK37-05_2005	8	Fertile Crescent	United Kingdom	Human	Modern
Uk24-06_2006	12	Africa/America	Nigeria	Human	Modern
VRI-6856-11_2011	39	Indo-Pacific	Malaysia	Caprinae	Modern
VRI4799-15_2015	39	Indo-Pacific	NA	NA	Modern
VRI6530-11_2011	39	Indo-Pacific	NA	NA	Modern
